epsilon2	better_prob	prob_branch	mean_resolved	mean_closed_nn	mean_closed_nnHybrid	mean_closed_1Tree	mean_closed_subgradient	mean_total_time	mean_time_bb	mean_time_to_best	mean_bbnodes_before_best	mean_fixed_edges	mean_total_tree_level	mean_generate_bbnodes	mean_explored_bbnodes	mean_best_level	mean_prob_best	mean_best_value	mean_mandatory_edges	mean_forbidden_edges
0.3	0.1	0.5	100.0	0.0	89.0	0.0	11.0	0.16364977598190308	0.15111382999999992	0.07261761000000001	13.96	1985.47	3.0	35.08	25.78	0.71	0.99012706	5.679856910000002	1.21	100.1
0.3	0.1	0.6	100.0	0.0	89.0	0.0	11.0	0.14939221382141113	0.1374892	0.06591876999999999	13.96	1985.47	3.0	35.08	25.78	0.71	0.99012706	5.679856910000002	1.21	100.1
0.3	0.1	0.7	100.0	0.0	89.0	0.0	11.0	0.15996712923049927	0.14729574999999992	0.0685879	13.96	1985.47	3.0	35.08	25.78	0.71	0.99012706	5.679856910000002	1.21	100.1
0.3	0.1	0.8	100.0	0.0	89.0	0.0	11.0	0.15557952404022216	0.14266828999999998	0.06552303999999999	13.96	1985.47	3.0	35.08	25.78	0.71	0.99012706	5.679856910000002	1.21	100.1
0.3	0.1	0.9	100.0	0.0	89.0	0.0	11.0	0.1523761749267578	0.13997544	0.0645588	13.95	1993.21	3.0	35.04	25.74	0.71	0.99012706	5.679856910000002	1.21	100.1
0.3	0.2	0.5	100.0	0.0	89.0	0.0	11.0	0.15747159242630004	0.14515541999999995	0.06753895	13.2	1975.25	3.0	34.62	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.3	0.2	0.6	100.0	0.0	89.0	0.0	11.0	0.1788622570037842	0.16303567999999988	0.08442791	13.2	1975.25	3.0	34.62	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.3	0.2	0.7	100.0	0.0	89.0	0.0	11.0	0.14990402936935424	0.13821149000000002	0.06392065	13.2	1975.25	3.0	34.62	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.3	0.2	0.8	100.0	0.0	89.0	0.0	11.0	0.14686745643615723	0.13526585999999996	0.06259916	13.2	1975.25	3.0	34.62	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.3	0.2	0.9	100.0	0.0	89.0	0.0	11.0	0.15438568115234375	0.14231337	0.06321758	13.19	1974.94	3.0	34.58	25.61	0.71	0.99012706	5.679856910000002	1.21	100.1
0.3	0.3	0.5	100.0	0.0	89.0	0.0	11.0	0.15177590370178223	0.13905799000000005	0.05992045999999998	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.3	0.3	0.6	100.0	0.0	89.0	0.0	11.0	0.14349677562713622	0.13074577999999998	0.058119510000000006	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.3	0.3	0.7	100.0	0.0	89.0	0.0	11.0	0.16290194511413575	0.15164144	0.07079746999999999	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.3	0.3	0.8	100.0	0.0	89.0	0.0	11.0	0.16016799449920655	0.14755948	0.0682378	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
